,predictions,file_names
0,happy,03-01-03-02-02-01-16.wav
1,happy,03-01-03-01-02-01-17.wav
2,disgust,03-01-03-01-02-02-05.wav
3,fearful,03-01-06-01-01-02-19.wav
4,fearful,03-01-02-02-01-01-19.wav
5,calm,03-01-02-01-02-02-01.wav
6,disgust,03-01-07-01-02-01-17.wav
7,happy,03-01-03-02-02-02-04.wav
8,happy,03-01-03-02-02-01-14.wav
9,disgust,03-01-07-01-01-02-17.wav
10,disgust,03-01-07-02-02-01-12.wav
11,fearful,03-01-06-01-02-01-13.wav
12,disgust,03-01-07-02-01-02-09.wav
13,calm,03-01-02-02-01-02-01.wav
14,happy,03-01-06-02-01-01-12.wav
15,calm,03-01-02-02-01-02-19.wav
16,fearful,03-01-06-01-02-02-03.wav
17,happy,03-01-03-01-02-02-13.wav
18,fearful,03-01-06-01-01-01-14.wav
19,fearful,03-01-06-02-01-02-14.wav
20,happy,03-01-03-01-02-02-21.wav
21,fearful,03-01-06-02-02-02-23.wav
22,fearful,03-01-06-02-02-01-07.wav
23,disgust,03-01-07-02-01-01-21.wav
24,fearful,03-01-03-01-02-02-23.wav
25,fearful,03-01-06-02-02-02-24.wav
26,disgust,03-01-06-02-02-01-06.wav
27,happy,03-01-03-01-02-01-13.wav
28,disgust,03-01-07-02-01-02-24.wav
29,calm,03-01-02-02-01-02-23.wav
30,disgust,03-01-03-01-02-01-09.wav
31,happy,03-01-03-01-02-02-14.wav
32,fearful,03-01-06-01-01-02-04.wav
33,happy,03-01-03-02-01-01-02.wav
34,happy,03-01-03-01-01-01-15.wav
35,calm,03-01-02-02-02-01-02.wav
36,happy,03-01-03-02-02-01-05.wav
37,disgust,03-01-07-01-02-01-11.wav
38,calm,03-01-02-02-02-01-12.wav
39,fearful,03-01-06-01-01-01-23.wav
40,disgust,03-01-07-01-01-01-24.wav
41,disgust,03-01-02-02-01-01-16.wav
42,fearful,03-01-06-02-02-01-10.wav
43,happy,03-01-07-02-02-02-15.wav
44,calm,03-01-07-01-02-02-20.wav
45,disgust,03-01-07-02-02-01-11.wav
46,disgust,03-01-07-01-01-02-02.wav
47,fearful,03-01-06-02-02-02-17.wav
48,fearful,03-01-06-01-02-02-10.wav
49,happy,03-01-06-02-01-02-15.wav
50,calm,03-01-02-02-01-02-11.wav
51,calm,03-01-02-02-01-02-24.wav
52,happy,03-01-07-02-01-02-10.wav
53,fearful,03-01-06-01-02-02-05.wav
54,calm,03-01-02-01-02-01-18.wav
55,fearful,03-01-03-02-02-02-09.wav
56,calm,03-01-02-02-02-02-10.wav
57,fearful,03-01-06-01-02-02-15.wav
58,happy,03-01-03-02-01-01-01.wav
59,calm,03-01-02-01-02-01-13.wav
60,calm,03-01-02-02-01-01-17.wav
61,fearful,03-01-06-02-02-01-03.wav
62,disgust,03-01-07-02-01-01-05.wav
63,disgust,03-01-03-01-02-01-22.wav
64,fearful,03-01-06-01-02-02-06.wav
65,disgust,03-01-02-01-02-02-06.wav
66,calm,03-01-02-01-02-01-06.wav
67,happy,03-01-03-02-01-01-05.wav
68,happy,03-01-03-02-02-01-15.wav
69,happy,03-01-03-01-02-01-08.wav
70,fearful,03-01-06-02-01-02-24.wav
71,happy,03-01-03-01-01-02-11.wav
72,calm,03-01-02-01-01-01-24.wav
73,happy,03-01-03-01-02-02-08.wav
74,calm,03-01-02-02-02-01-03.wav
75,happy,03-01-03-02-02-02-05.wav
76,happy,03-01-03-01-01-01-08.wav
77,fearful,03-01-06-01-01-02-11.wav
78,disgust,03-01-07-01-02-02-13.wav
79,calm,03-01-02-01-01-01-05.wav
80,calm,03-01-02-02-02-02-02.wav
81,calm,03-01-02-01-02-02-23.wav
82,happy,03-01-06-02-01-01-03.wav
83,disgust,03-01-07-01-01-02-14.wav
84,fearful,03-01-06-01-01-02-13.wav
85,happy,03-01-03-01-01-02-04.wav
86,disgust,03-01-07-01-02-02-18.wav
87,fearful,03-01-06-02-02-02-04.wav
88,disgust,03-01-07-01-01-01-22.wav
89,fearful,03-01-06-02-01-01-15.wav
90,disgust,03-01-07-01-02-01-09.wav
91,fearful,03-01-06-01-02-01-20.wav
92,calm,03-01-02-01-01-02-14.wav
93,fearful,03-01-07-02-02-02-23.wav
94,fearful,03-01-06-01-01-02-20.wav
95,disgust,03-01-07-01-01-01-12.wav
96,fearful,03-01-06-01-01-01-10.wav
97,calm,03-01-02-02-02-01-16.wav
98,disgust,03-01-07-02-02-01-18.wav
99,calm,03-01-02-02-02-02-16.wav
100,calm,03-01-02-02-02-01-10.wav
101,calm,03-01-02-02-01-01-22.wav
102,disgust,03-01-07-01-01-01-17.wav
103,happy,03-01-03-02-02-01-13.wav
104,calm,03-01-02-01-02-01-17.wav
105,happy,03-01-03-01-02-02-02.wav
106,calm,03-01-02-02-01-01-04.wav
107,happy,03-01-03-01-01-02-06.wav
108,fearful,03-01-03-01-01-02-16.wav
109,calm,03-01-02-02-01-01-05.wav
110,disgust,03-01-07-02-02-02-06.wav
111,disgust,03-01-07-02-02-01-24.wav
112,fearful,03-01-06-01-01-01-02.wav
113,happy,03-01-03-02-02-02-02.wav
114,disgust,03-01-07-01-02-01-13.wav
115,disgust,03-01-07-02-02-01-05.wav
